Name,Address,City,Region,Country
Kego Club,21 Water Street,Vancouver,British Columbia,Canada
Keith's RKO Theatre,44 W. Fourth Street,Dayton,Ohio,USA
Keith's Theatre,113-21 Lyon St NW,Grand Rapids,Michigan,USA
Keller Auditorium,222 Clay Street SW,Portland,Oregon,USA
Kellogg Arena,1 McCamly Square,Battle Creek,Michigan,USA
Kellogg Auditorium,50 W. Van Buren Street,Battle Creek,Michigan,USA
Kelly's Bar,2403 Holbrook Avenue,Hamtramck,Michigan,USA
Kelsey Kerridge Hall,,Cambridge,Cambridgeshire,England
Kelvin Hall,1445 Argyle Street,Glasgow,West End,Scotland
Kemp's Coliseum,1640 N. Orange Avenue,Orlando,Florida,USA
Kemper Arena,1800 Genessee,Kansas City,Missouri,USA
Ken Bunka Center,,Kagoshima,Kyushu,Japan
Ken's Afterglow,2229 SE Hawthorne Boulevard,Portland,Oregon,USA
Kenan Memorial Stadium,104 Stadium Drive,Chapel Hill,North Carolina,USA
Kendun Recorders,619 S. Glenwood Place,Burbank,California,USA
Kenmin Kaikan,80 Nishikanaya,Toyama,Chūbu,Japan
Kennedy Center Concert Hall,2700 F Street NW,Washington,District of Columbia,USA
Kennedy Hall,,Osaka,,Japan
Kennedy Memorial Pavilion,Gonzaga University,Spokane,Washington,USA
Kenny's Castaways I,211 E. 84th Street,NYC,New York,USA
Kenny's Castaways II,157 Bleecker Street,Greenwich Village,New York,USA
Kent State University,800 E. Summit Street,Kent,Ohio,USA
Kentucky International Convention Center,221 S. Fourth Street,Louisville,Kentucky,USA
Kentucky Lounge,2851 E. Michigan Avenue,Ypsilanti,Michigan,USA
Kentucky Speedway,4760 Sparta Pike,Sparta,Kentucky,USA
Kentucky State Fairgrounds,937 Phillips Lane,Louisville,Kentucky,USA
Kerrytown Concert House,415 N. 4th Avenue,Ann Arbor,Michigan,USA
Kevin's Lounge,15103 E. Warren Avenue,Detroit,Michigan,USA
Kewadin Casino,2186 Shunk Road,Sault Ste. Marie,Michigan,USA
Key Club Morongo,49500 Seminole Drive,Cabazan,California,USA
Key West,24230 W. Six Mile Road,Redford Charter Township,Michigan,USA
KeyArena,305 Harrison Street,Seattle,Washington,USA
KeyBank Center,1 Seymour H. Knox III Plaza,Buffalo,New York,USA
KeySpan Park,1904 Surf Avenue,Brooklyn,New York,USA
Keystone Berkeley,2119 University Avenue,Berkeley,California,USA
Keystone Korner,750 Vallejo Street,San Francisco,California,USA
Keystone Palo Alto,260 S. California Avenue,Palo Alto,California,USA
Keystone Stockton,64 Sherwood Plaza,Stockton,California,USA
KFC Yum! Center,1 Arena Plaza,Louisville,Kentucky,USA
Khyber Pass Pub,56 S. Second Street,Philadelphia,Pennsylvania,USA
Kicks,12701 Gratiot Avenue,Detroit,Michigan,USA
Kiel Auditorium,1401 Clark Avenue,St. Louis,Missouri,USA
Kiel Center,1401 Clark Avenue,St. Louis,Missouri,USA
Kiel Opera House,1400 Market Street,St. Louis,Missouri,USA
Kilowatt Bar,3160 16th Street,San Francisco,California,USA
Kimball High School,1500 Lexington Boulevard,Royal Oak,Michigan,USA
Kimball's,Franklin Street,San Francisco,California,USA
Kincsem Park,Albertirsai út 2-4,Budapest,Central Hungary,Hungary
Kinetic Playground,4812 N. Clark Street,Chicago,Illinois,USA
King Animaland Park,2600 N. Gratiot,Richmond,Michigan,USA
King Baudouin Stadium,Avenue de Marathon 135,Brussels,,Belgium
King Brewery,895 Oakland Avenue,Pontiac,Michigan,USA
King Pleasure,2333 E. Stadium Boulevard,Ann Arbor,Michigan,USA
King Tut's Wah Wah Hut,272a St. Vincent Street,Glasgow,,Scotland
King's Cross Cinema,275 Pentonville Road,London,King's Cross,England
King's Inn & Golf Club,,Freeport,Grand Bahama,Bahamas
King's Row,10845 Chicago Street,Detroit,Michigan,USA
Kings Country Club,Pevensey Bay Road,Eastbourne,South East England,England
Kings Dominion,16000 Theme Park Way,Doswell,Virginia,USA
Kingsbridge Armory,29 W. Kingsbridge Road,The Bronx,New York,USA
Kingsbury Hall,1395 E. Presidents Circle,Salt Lake City,Utah,USA
Kingsley Inn,39475 Woodward Avenue,Bloomfield Hills,Michigan,USA
Kingston Armory,280 Market Street,Kingston,Pennsylvania,USA
Kingswood Music Theatre,1 Canada's Wonderland Drive,Maple,Ontario,Canada
Kirby Grill,2 Washington Street,Grand Haven,Michigan,USA
Kirjurinluoto,,Pori,Satakunta,Finland
Kirtland Center for the Performing Arts,10775 N. St. Helen Road,Roscommon,Michigan,USA
Kishma Grotto Hall,2501 E. Judd Road,Burton,Michigan,USA
Kitchener Memorial Auditorium,400 East Avenue,Kitchener,Ontario,Canada
Klamath Falls Armory,2501 Shasta Way,Klamath Falls,Oregon,USA
Klavierhaus,,NYC,New York,USA
Klein's Show Bar,8540 12th Street,Detroit,Michigan,USA
Kleinhans Music Hall,370 Pennsylvania Avenue,Buffalo,New York,USA
Klipsch Music Center,12880 E. 146th Street,Noblesville,Indiana,USA
Klook's Kleek,100 West End Lane,London,West Hampstead,England
Knickerbocker Arena,51 S. Pearl Street,Albany,New York,USA
Knickerbocker Saloon,33 University Place,NYC,New York,USA
Knickerbocker Theater,86 E. 8th Street,Holland,Michigan,USA
Knight Beat,276 NW Sixth Street,Miami,Florida,USA
Knight Center,400 SE Second Avenue,Miami,Florida,USA
Knight's Bridge,1618 Second Street,San Rafael,California,USA
Knights of Columbus Hall (AP),17113 Champaign Road,Allen Park,Michigan,USA
Knights of Columbus Hall (D),4381 Larkins Street,Detroit,Michigan,USA
Knights of Columbus Hall (H),9632 Conant Street,Hamtramck,Michigan,USA
Knights of Columbus Hall (HP),1024 E. Nine Mile Road,Hazel Park,Michigan,USA
Knights of Columbus Hall (RO),404 E. Fourth Street,Royal Oak,Michigan,USA
Knights of Columbus Hall (W),35100 Van Born Road,Wayne,Michigan,USA
Knitting Factory Boise,416 S. Ninth Street,Boise,Idaho,USA
Knitting Factory Brooklyn,361 Metropolitan Avenue,Brooklyn,New York,USA
Knitting Factory Hollywood,7021 Hollywood Boulevard,Hollywood,California,USA
Knitting Factory NYC (I),47 E. Houston Street,NYC,New York,USA
Knitting Factory Reno,211 N. Virginia Street,Reno,Nevada,USA
Knokke Casino,Zeedijk-Albertstrand 509,Knokke,West Flanders,Belgium
Knollcrest Fieldhouse,Calvin College,Grand Rapids,Michigan,USA
Knoxville Coliseum,500 Howard Baker Jr. Boulevard,Knoxville,Tennessee,USA
Knuckleheads,2715 Rochester Avenue,Kansas City,Missouri,USA
Kobacker Hall,Bowling Green State University,Bowling Green,Ohio,USA
Kobe Kokusai Kaikan,"8-1-6, Goko-dori, Chuo-ku",Kobe,Kansai,Japan
Kodiak Grill,45660 Mound Road,Shelby Township,Michigan,USA
Koelnmesse,Messeplatz 1,Cologne,North Rhine-Westphalia,Germany
Kongreßhalle,,Frankfurt,Hesse,Germany
Kongsberg Jazz Festival,Kirketorget 5B,Kongsberg,Numedal,Norway
Konigin Elizabethzaal,Koningin Astridplein 26,Antwerp,Flemish Region,Belgium
Koninklijk Conservatorium,Juliana van Stolberglaan 1,The Hague,North Holland,Netherlands
Konocti Harbor,8727 Soda Bay Road,Kelseyville,California,USA
Konserthuset,Hötorget 8,Stockholm,Södermanland & Uppland,Sweden
Konserthuset Gothenburg,Götaplatsen 8,Gothenburg,Västergötland,Sweden
Koppin Theater,536 Gratiot Avenue,Detroit,Michigan,USA
Korakuen Stadium,3-6-1 Koraku,Tokyo,Bunkyo,Japan
Kortrijk Hallen,Doorniksesteenweg 216,Kortrijk,West Flanders,Belgium
KQED TV Studio,,San Francisco,California,USA
Kraftbrau Brewery,402 E. Kalamazoo Avenue,Kalamazoo,Michigan,USA
Kramer Theatre,5743 Michigan Avenue,Detroit,Michigan,USA
Kravis Center,701 Okeechobee Boulevard,West Palm Beach,Florida,USA
Kresge Auditorium,4000 Highway M-137,Interlochen,Michigan,USA
Kresge Town Hall,510 Porter-Kresge Road,Santa Cruz,California,USA
KRNT Radio Theater,10th Street,Des Moines,Iowa,USA
KSC Keystone Hall,15200 Kutztown Road,Kutztown,Pennsylvania,USA
KSC Schaeffer Auditorium,15200 Kutztown Road,Kutztown,Pennsylvania,USA
Kulttuuritalo,Sturenkatu 4,Helsinki,Uusimaa,Finland
Kulturbolaget,Friisgatan 26,Malmö,Scania,Sweden
Kulturzentrum Pumpwerk,Banter Deich 1A,Wilhelmshaven,Lower Saxony,Germany
Kunstindustrimuseet,Munkegata 5,Trondheim,Sør-Trøndelag,Norway
Kurhalle Oberlaa,Kurbadstraße 14,Vienna,Wien,Austria
Kurhaus,Gevers Deynootplein 30,Scheveningen,South Holland,Netherlands
Kuumba Jazz Center,320 Cedar Street,Santa Cruz,California,USA
Kyocera Dome Osaka,〒 550-0023 3-naka 2-1 Chiyozaki,Osaka,Nishi-ku,Japan
Kyoto Aviax,,Kyoto,Kansai,Japan
Kyoto Kaikan,13 Okazakisaishoji-cho,Kyoto,Kansai,Japan
KYW Studio,,Philadelphia,Pennsylvania,USA
L'Olympia,28 Boulevard des Capucines,Paris,Île-de-France,France
L'Olympia Montréal,1004 Sainte-Catherine East,Montréal,Quebec,Canada
L'Olympic,30 Place Jean Macé,Nantes,Pays de la Loire,France
L.C. Walker Arena,955 4th Street,Muskegon,Michigan,USA
La Belle Resort,,Yorkville,Michigan,USA
La Boom,1172 N. Pontiac Trail,Walled Lake,Michigan,USA
La Carousel,834 Hunters Branch Close NE,Atlanta,Georgia,USA
La Cigale,120 Boulevard de Rochechouart,Paris,Île-de-France,France
La Crosse Center,300 Harbor View Plaza,La Crosse,Wisconsin,USA
La Martinique,57 W. 57th Street,NYC,New York,USA
La Porte Civic Center,1001 Ridge Street,La Porte,Indiana,USA
La Sala Rossa,4848 Boul. Saint-Laurent,Montréal,Quebec,Canada
La Tulipe,4530 Av. Papineau,Montréal,Quebec,Canada
La-Z-Boy Center,1555 S. Raisinville Road,Monroe,Michigan,USA
Labatt Centre,99 Dundas Street,London,Ontario,Canada
Labyrinth,1703 Cass Avenue,Detroit,Michigan,USA
LaCave,10165 Euclid Avenue,Cleveland,Ohio,USA
Ladbroke DRC,,Livonia,Michigan,USA
Ladies Literary Club,61 Sheldon Avenue SE,Grand Rapids,Michigan,USA
Ladies' Fort,2 Bond Street,NYC,New York,USA
Lafayette Municipal Auditorium,1373 S. College Road,Lafayette,Louisiana,USA
Lafayette-Orleans,1557 E. Lafayette Boulevard,Detroit,Michigan,USA
Lake Charles Civic Center,900 Lakeshore Drive,Lake Charles,Louisiana,USA
Lake Compounce,822 Lake Avenue,Bristol,Connecticut,USA
Lake County Industrial Building,Cedar Lake Road,Crown Point,Indiana,USA
Lake Lansing,,Haslett,Michigan,USA
Lake Odessa Fairgrounds,,Lake Odessa,Michigan,USA
Lake Park High School (E),600 S. Medinah Road,Roselle,Illinois,USA
Lake Spivey Park,,Jonesboro,Georgia,USA
Lake-Sumter State College,9501 US-441,Leesburg,Florida,USA
Lakefront Arena,6801 Franklin Avenue,New Orleans,Louisiana,USA
Lakeland Castle,,Caseville,Michigan,USA
Lakeland Civic Center,701 W. Lime Street,Lakeland,Florida,USA
Lakeland Pub,9495 Chilson Road,Lakeland,Michigan,USA
Lakepointe Manor,5768 E. Grand River Avenue,Howell,Michigan,USA
Lakeside Amphitheatre,9993 Alleghany Road,Darien Center,New York,USA
Lakeside Mall,14000 Lakeside Circle,Sterling Heights,Michigan,USA
Lakeside Park,315 Queen Street,Kingsville,Ontario,Canada
Lakeview Arena,401 E. Fair Avenue,Marquette,Michigan,USA
Lakeview High School,15060 S. Helmer Road,Battle Creek,Michigan,USA
Lakewood Amphitheatre,2002 Lakewood Avenue SE,Atlanta,Georgia,USA
Lamar Park,2561 Porter Street SW,Wyoming,Michigan,USA
Lamphere High School,610 W. 13 Mile Road,Madison Heights,Michigan,USA
Lamplighter,1815 N. Main Street,Royal Oak,Michigan,USA
Lancer's Lounge,13303 Gratiot Avenue,Detroit,Michigan,USA
Lanchester Polytechnic,Priory Street,Coventry,West Midlands,England
Lane County Fairgrounds,796 W. 13th Avenue,Eugene,Oregon,USA
Langston Hughes Theatre,13125 Livernois Avenue,Detroit,Michigan,USA
Lansdowne Park,1015 Bank Street,Ottawa,Ontario,Canada
Lansdowne Restaurant,201 Atwater Street,Detroit,Michigan,USA
Lansing Center,333 E. Michigan Avenue,Lansing,Michigan,USA
Lansing Civic Center,525 W. Allegan Street,Lansing,Michigan,USA
Lansing Civic Players Hall,2300 E. Michigan Avenue,Lansing,Michigan,USA
Lantz Arena,250 Grant Avenue,Charleston,Illinois,USA
Lanxess Arena,Willy-Brandt-Platz 3,Cologne,North Rhine-Westphalia,Germany
Lapeer Days Festival,Nepessing Street,Lapeer,Michigan,USA
Larned Place East,401 E. Larned Street,Detroit,Michigan,USA
Larry's Playroom Lounge,8121 Linwood,Detroit,Michigan,USA
Larry's Showcase,1316 N Street,Lincoln,Nebraska,USA
Las Fontanas,15481 49th Street N,Clearwater,Florida,USA
Las Vegas Convention Center,3150 Paradise Road,Las Vegas,Nevada,USA
LaSalle Park,,Buffalo,New York,USA
Last Chance,Schaefer Road,Dearborn,Michigan,USA
Last Day Saloon,406 Clement Street,San Francisco,California,USA
Last Place on Earth,345 Madison Avenue,Memphis,Tennessee,USA
Lathrop High School,901 Airport Way,Anchorage,Alaska,USA
Latin Casino,Route 70,Cherry Hill,New Jersey,USA
Latin Quarter,3067 W. Grand Boulevard,Detroit,Michigan,USA
Latino Ballroom,Opdyke & Pontiac Roads,Pontiac,Michigan,USA
Launching Pad Lounge,51200 Washington Street,New Baltimore,Michigan,USA
Laura Hall,19020 W. Warren Avenue,Detroit,Michigan,USA
Laurel Race Course,Laurel Race Track Road,Laurel,Maryland,USA
Lava Room,1945 Placentia Avenue,Costa Mesa,California,USA
Lavender Coliseum,764 Highway 69,Columbus,Mississippi,USA
Lawlor Events Center,1500 North Virginia Street,Reno,Nevado,USA
Lawrence Opera House,642 Massachusetts Street,Lawrence,Kansas,USA
Lawrence Tech,21000 W. 10 Mile Road,Southfield,Michigan,USA
Lay-Z-J Saloon,1401 W. Market Street,Bloomington,Illinois,USA
Le Bataclan,50 Boulevard Voltaire,Paris,Île-de-France,France
Le Bonaventure Westin,,Montréal,Quebec,Canada
Le Club A Go-Go,20 W. Adams Street,Detroit,Michigan,USA
Le Club des Musiciens,1500 Boulevard de Maisonneuve E,Montréal,Quebec,Canada
Le Club Montreal,318 Sainte-Catherine West,Montréal,Quebec,Canada
Le Hibou,521 Sussex Drive,Ottawa,Ontario,Canada
Le Jive Music Café,109 Maple Road,Wyandotte,Michigan,USA
Le Palace,8 Rue du Faubourg-Montmartre,Paris,Île-de-France,France
Le Plateau Auditorium,3700 Calixa-Lavallee,Montréal,Quebec,Canada
Le Pretzel,2112 Clark Street,Montréal,Quebec,Canada
Le Spectrum de Montréal,318 Sainte-Catherine West,Montréal,Quebec,Canada
Le Zénith de Paris,211 Avenue Jean-Jaurès,Paris,Île-de-France,France
Leamington Hotel,1014 Third Avenue S,Minneapolis,Minnesota,USA
Lebanon Valley Speedway,1746 US Route 20,West Lebanon,Pennsylvania,USA
Lebowski Center,122 E. Main Street,Owosso,Michigan,USA
LeBreton Flats Park,Sir John A. Macdonald Parkway,Ottawa,Ontario,Canada
Lee 'n' Eddie's,8231 Woodward Avenue,Detroit,Michigan,USA
Lee County Civic Center,11831 Bayshore Road,Fort Myers,Florida,USA
Lee Plaza Hotel Terrace,2240 W. Grand Boulevard,Detroit,Michigan,USA
Lee's Club Sensation,1300 Owen Street,Detroit,Michigan,USA
Lee's Palace,529 Blood Street W,Toronto,Ontario,Canada
Leeds Locarno,,Leeds,West Yorkshire,England
Leeds Town Hall,The Headrow,Leeds,West Yorkshire,England
Leelanau Sands Showroom,2521 NW Bay Shore Drive,Suttons Bay,Michigan,USA
Legend Valley,7585 Kindle Road,Thornville,Ohio,USA
Legend's,415 E. Congress Street,Detroit,Michigan,USA
Lehigh Club,,Battle Creek,Michigan,USA
Leland City Club,400 Bagley Avenue,Detroit,Michigan,USA
Leland House,400 Bagley Avenue,Detroit,Michigan,USA
Lelli's Inn,7618 Woodward Avenue,Detroit,Michigan,USA
Lenawee County Fairgrounds,602 N. Dean Street,Adrian,Michigan,USA
Lenny's Deluxe Blues Café,14737 Gratiot Avenue,Detroit,Michigan,USA
Leo's Casino,7500 Euclid Avenue,Cleveland,Ohio,USA
Leon County Civic Center,505 W. Pensacola Street,Tallahassee,Florida,USA
Leon's Bar & Deli,108 S. Washington Square,Lansing,Michigan,USA
Leona Theater,232 E. Eighth Avenue,Homestead,Pennsylvania,USA
Leone's Lounge & Arcade,2179 Fort Park Boulevard,Lincoln Park,Michigan,USA
Leopold Brothers,523 S. Main Street,Ann Arbor,Michigan,USA
Lepley Sports & Recreation Center,Oakland University,Rochester,Michigan,USA
Leroy Theatre,66 Broad Street,Pawtucket,Rhode Island,USA
Leroy's,24200 Dequindre Road,Warren,Michigan,USA
LeRoy's Classic Bar & Grill,1526 S. Cedar Street,Lansing,Michigan,USA
Les Foufounes Électriques,87 Rue Sainte-Catherine Ouest,Montréal,Quebec,Canada
Les Marins d'Eau Douce,Rue Ernest,Ramonville-Saint-Agne,Midi-Pyrénées,France
Let Me Go,65 Riverside Drive E,Windsor,Ontario,Canada
Letchworth Youth Centre,,Letchworth,North Hertfordshire,England
Letzigrund,Badenerstrasse 500,Zürich,,Switzerland
Level 2 Skatepark,700 E. Lake Shore Drive,Houghton,Michigan,USA
Levitt Arena,Wichita State University,Wichita,Kansas,USA
Lewis & Clark Community College,5800 Godfrey Road,Godfrey,Illinois,USA
Lewisohn Stadium,136th Street & Convent Avenue,NYC,New York,USA
Lexington Music Theater,7318 Huron Avenue,Lexington,Michigan,USA
Lexington West,721 W. Lexington Street,Baltimore,Maryland,USA
Liberty Ballroom,,South River,New Jersey,USA
Liberty Hall,1610 Chenevert,Houston,Texas,USA
Liberty Lunch,405 W. Second Street,Austin,Texas,USA
Liberty Memorial,100 W. 26th Street,Kansas City,Missouri,USA
Liberty Plaza,Liberty & Division,Ann Arbor,Michigan,USA
Liberty Studios,8715 W. Third Street,Los Angeles,California,USA
Library Pub,35230 Central City Parkway,Westland,Michigan,USA
Library Pub & Grill,42100 Grand River Avenue,Novi,Michigan,USA
Liederhalle,Berliner Platz 1-3,Stuttgart,Baden-Württemberg,Germany
Liedernacht,400 Bagley Street,Detroit,Michigan,USA
Lifestyle Communities Pavilion,405 Neil Avenue,Columbus,Ohio,USA
Light Guard Armory,4400 E. 8 Mile Road,Detroit,Michigan,USA
Lighthouse Café,30 Pier Avenue,Hermosa Beach,California,USA
Lili's,2930 Jacob Street,Hamtramck,Michigan,USA
Limberlost,4168 Houghton Lake Drive,Houghton Lake,Michigan,USA
Limbo's,18300 Woodward Avenue,Detroit,Michigan,USA
Limelight Café,24300 Hoover Road,Warren,Michigan,USA
Lincoln Center,111 Amsterdam Avenue,NYC,New York,USA
Lincoln High School,22900 Federal Avenue,Warren,Michigan,USA
Lincoln Park,,Chicago,Illinois,USA
Lincoln Park,,North Dartmouth,Massachusetts,USA
Lincoln Park High School,1701 Champaign Road,Lincoln Park,Michigan,USA
Lincoln Park Theater,1583 Fort Street,Lincoln Park,Michigan,USA
Lincoln Road Hall,79 S. Lincoln Road,Bay City,Michigan,USA
Lincoln Square Theatre,5 W. 63rd Street,NYC,New York,USA
Lindsay's Bar,345 Gratiot Avenue,Detroit,Michigan,USA
Lindy Opera House,5214 Wilshire Boulevard,Los Angeles,California,USA
Lindy's Cocktail Lounge,20501 Van Dyke Avenue,Detroit,Michigan,USA
Linwood Theater,8229 Linwood Street,Detroit,Michigan,USA
Lipinsky Auditorium,300 Liberty Lane,Asheville,North Carolina,USA
Liquid Room,9C Victoria Street,Edinburgh,Midlothian,Scotland
Liquor Box,3962 Pelham Street,Dearborn Heights,Michigan,USA
Lisner Auditorium,800 21st Avenue,Washington,District of Columbia,USA
Little Brother's,1100 N. High Street,Columbus,Ohio,USA
Little David's Cocktail Lounge,8417 Livernois Avenue,Detroit,Michigan,USA
Little John's Farm,Richfield Avenue,Reading,Berkshire,England
Little Vienna,Stanley Street,Montréal,Quebec,Canada
Littlejohn Coliseum,Centenial Boulevard,Clemson,South Carolina,USA
Live Music Hall,Lichtstraße 30,Cologne,North Rhine-Westphalia,Germany
Liverpool Empire Theatre,Lime Street,Liverpool,Merseyside,England
Liverpool Philharmonic Hall,Hope Street,Liverpool,Merseyside,England
Liverpool Stadium,Bixteth Street,Liverpool,Merseyside,England
Livid Festival,,Sydney,,Australia
Living End,8225 John C. Lodge Street,Detroit,Michigan,USA
Living Room,273 Promenade Street,Providence,Rhode Island,USA
Living Room Lounge,23307 Telegraph Road,Southfield,Michigan,USA
Livonia Roller Rink,,Livonia,Michigan,USA
Lizard's,224 Abbott Road,East Lansing,Michigan,USA
Lloyd Noble Center,2900 Jenkins Avenue,Norman,Oklahoma,USA
Lloyd Price's Turntable,1674 Broadway,NYC,New York,USA
Loading Dock,205 Lake Street,Traverse City,Michigan,USA
Lobbi Bar,600 Town Center Drive,Dearborn,Michigan,USA
Local 432,124 W. First Street,Flint,Michigan,USA
Local 506,500 W. Franklin Street,Chapel Hill,North Carolina,USA
Local 662,662 Central Avenue,St. Petersburg,Florida,USA
Local 876 Hall,2550 W. Grand Boulevard,Detroit,Michigan,USA
Locarno Ballroom Bristol,Frogmore Street,Bristol,South West England,England
Locarno Ballroom Stevenage,Danestrete,Stevenage,Hertfordshire,England
Locarno Ballroom Wakefield,,Wakefield,West Yorkshire,England
Locker Room,3141 Caniff Avenue,Hamtramck,Michigan,USA
Loco Bar & Grill,454 E. Lafayette Boulevard,Detroit,Michigan,USA
Loeb Playhouse,128 Memorial Mall Drive,West Lafayette,Indiana,USA
Loeb Student Center,566 LaGuardia Place,NYC,New York,USA
Loew's Palace Theatre,1306 F Street NW,Washington,District of Columbia,USA
Loew's Sheridan Theatre,200-202 W. 12th Street,NYC,New York,USA
Loew's Theatre,220 Weybosset Street,Providence,Rhode Island,USA
Loew's Valencia Theatre,165-11 Jamaica Avenue,Queens,New York,USA
Lofy's Pavilion Room,42390 Ann Arbor Road,Plymouth,Michigan,USA
Logan Racquet Club,,Traverse City,Michigan,USA
Logan Square Auditorium,2539 N. Kedzie Boulevard,Chicago,Illinois,USA
Lolita's Lounge,3500 Junction Street,Detroit,Michigan,USA
Loma Linda,990 Broadway,Davisburg,Michigan,USA
London Arena,65 Bathurst Street,London,Ontario,Canada
London Astoria,157 Charing Cross Road,London,Soho,England
London Bridge,Ford Road @ Telegraph,Dearborn Heights,Michigan,USA
London Chop House,155 W. Congress Avenue,Detroit,Michigan,USA
London Gardens,4380 Wellington Road S,London,Ontario,Canada
London House,360 N. Michigan Avenue,Chicago,Illinois,USA
London Music Hall,185 Queens Avenue,London,Ontario,Canada
London Palladium,8 Argyll Street,London,Soho,England
London Palladium (ON),390 Saskatoon Street,London,Ontario,Canada
London School of Economics,Houghton Street,London,Westminster,England
Lone Star,4117 Mill Street,Kansas City,Missouri,USA
Lonely Hearts Club,211 E. Washington Street,Ann Arbor,Michigan,USA
Lonestar Café,Fifth Avenue & 13th Street,NYC,New York,USA
Long Beach Arena,300 E. Ocean Boulevard,Long Beach,California,USA
Long Beach Municipal Auditorium,300 E. Ocean Boulevard,Long Beach,California,USA
Long Branch Saloon,2504 San Pablo Avenue,Berkeley,California,USA
Long Island Arena,,Commack,New York,USA
Long's Grand Ballroom,6810 S. Cedar Street,Lansing,Michigan,USA
Longhorn Saloon,944 Phillips Avenue,Toledo,Ohio,USA
Loon's,2700 E. Michigan Avenue,Lansing,Michigan,USA
Loop Lounge,614 Prospect Avenue,Cleveland,Ohio,USA
Lorenzo's Cocktail Lounge,4444 Joy Road,Detroit,Michigan,USA
Lorial's,19151 Plymouth Road,Detroit,Michigan,USA
Los Angeles Memorial Coliseum,3911 S. Figueroa Street,Los Angeles,California,USA
Los Angeles Memorial Sports Arena,3939 S. Figueroa Street,Los Angeles,California,USA
Lost Horizon,5863 Thompson Road,DeWitt,New York,USA
Lottery Bar,,Aurora,Illinois,USA
Lou's Quarry,4815 W. Prospect Avenue,Appleton,Wisconsin,USA
Loughborough University,Epinal Way,Loughborough,Leicestershire,England
Louis Armstrong Memorial Stadium,,Flushing,New York,USA
Louis' Pub,93 Campus Drive,Saskatoon,Saskatchewan,Canada
Louisville Gardens,525 W. Muhammad Ali Boulevard,Louisville,Kentucky,USA
Louisville Memorial Auditorium,970 S. Fourth Street,Louisville,Kentucky,USA
Lounge Ax,2438 N. Lincoln Avenue,Chicago,Illinois,USA
Love Hall,Broad & South,Philadelphia,Pennsylvania,USA
Loveland,304 SE Second Avenue,Portland,Oregon,USA
Lower Town Grill,195 W. Liberty Street,Plymouth,Michigan,USA
Lowman's Westside Club,14355 Livernois Avenue,Detroit,Michigan,USA
LSU Assembly Center,N. Stadium Road,Baton Rouge,Louisiana,USA
LTU Arena,Arena-Straße 1,Düsseldorf,North Rhine-Westphalia,Germany
Lubbock Municipal Coliseum,2720 Drive of Champions,Lubbock,Texas,USA
Lucas County Fairgrounds,1406 Key Street,Maumee,Ohio,USA
Lucy's Jazz Workshop,20 Blood Alley Square,Vancouver,British Columbia,Canada
Ludington High School,508 N. Washington Avenue,Ludington,Michigan,USA
Ludlow Garage,346 Ludlow Avenue,Cincinnati,Ohio,USA
Ludwig's,4204 Ann Arbor Road,Jackson,Michigan,USA
Lulu White's,3 Appleton Street,Boston,Massachusetts,USA
Luna Pier,,Lakeside,Michigan,USA
Luna Pier Ballroom,10721 Victory Road,Erie,Michigan,USA
LunaPark,665 N. Robertson Boulevard,Hollywood,California,USA
Lupo's Heartbreak Hotel (2),239 Westminster Street,Providence,Rhode Island,USA
Lupo's Heartbreak Hotel (3),79 Washington Street,Providence,Rhode Island,USA
Lush,10241 Jos. Campau Avenue,Hamtramck,Michigan,USA
Luther's Blues,1401 University Avenue,Madison,Wisconsin,USA
Luzhniki Stadium,"ул. Лужники, 24, Москва, г.",Moscow,Khamovniki District,Russia
Lyceum Theatre,21 Wellington Street,London,Westminster,England
Lynch Memorial Gym,101 College Avenue,Annville,Pennsylvania,USA
Lyric Theatre,128 W. Mount Royal Avenue,Baltimore,Maryland,USA
Mabel's,613 E. Green Street,Champaign,Illinois,USA
Mabuhay Gardens,443 Broadway,San Francisco,California,USA
MAC Center,1025 Risman Drive,Kent,Ohio,USA
Mac's Bar,2700 E. Michigan Avenue,Lansing,Michigan,USA
MacArthurs Pub,,Chicago,Illinois,USA
MacEwan Hall,424 Collegiate Boulevard NW,Calgary,Alberta,Canada
Machine Gun Kelly's,1815 N. Main Street,Royal Oak,Michigan,USA
Machine Shop,3539 S. Dort Highway,Flint,Michigan,USA
MacInnes Ice Arena,Michigan Tech University,Houghton,Michigan,USA
Mackinac Jack's,215 S. Ashley Street,Ann Arbor,Michigan,USA
Macomb Center for the Performing Arts,44575 Garfield Road,Clinton Township,Michigan,USA
Macomb Music Theatre,31 N. Walnut Street,Mount Clemens,Michigan,USA
Macomb Theater,31 N. Walnut Street,Mount Clemens,Michigan,USA
Macon City Auditorium,415 First Street,Macon,Georgia,USA
Macon Coliseum,200 Coliseum Drive,Macon,Georgia,USA
Macon's Music Café,3011 W. Grand Boulevard,Detroit,Michigan,USA
Macumba Club,,San Francisco,California,USA
Mad Hatter,111 S. Monroe Street,Monroe,Michigan,USA
Madam's Chili Parlor,8838 Telegraph Road,Redford Township,Michigan,USA
Madison Ballroom,4643 Woodward Avenue,Detroit,Michigan,USA
Madison Civic Center,201 State Street,Madison,Wisconsin,USA
Madison Club,Madison & Chester Streets,Baltimore,Maryland,USA
Madison House,,Boulder,Colorado,USA
